Unnamed: 0,Year,Month,ET,datetime
262,2022.0,November,2.107291666666667,2022-11-01
263,2022.0,December,2.184659090909091,2022-12-01
264,2023.0,January,2.592329545454546,2023-01-01
265,2023.0,February,2.3970170454545454,2023-02-01
266,2023.0,March,3.3265625,2023-03-01
267,2023.0,April,3.75814393939394,2023-04-01
268,2023.0,May,3.5890625000000003,2023-05-01
269,2023.0,June,3.657528409090909,2023-06-01
270,2023.0,July,3.458664772727273,2023-07-01
271,2023.0,August,3.1802556818181817,2023-08-01
272,2023.0,September,3.226136363636364,2023-09-01
273,2023.0,October,2.888636363636364,2023-10-01
