oldMonth,oldNDVI,Month,NDVI
January,0.460729808807373,November,0.421560685634613
February,0.42812957644462585,December,0.49436317205429076
March,0.39861085414886477,January,0.460729808807373
April,0.3382584469822737,February,0.42812957644462585
May,0.3188073686682261,March,0.39861085414886477
June,0.2791535198115385,April,0.3382584469822737
July,0.2702920058598885,May,0.3188073686682261
August,0.28823112352536273,June,0.2791535198115385
September,0.32504260253447753,July,0.2702920058598885
October,0.3447605778391545,August,0.28823112352536273
November,0.421560685634613,September,0.32504260253447753
December,0.49436317205429076,October,0.3447605778391545
