oldMonth,oldNDVI,Month,NDVI
January,0.6174797067524475,November,0.5193909473183714
February,0.6304779137505425,December,0.5976741338659216
March,0.5944414105827426,January,0.6174797067524475
April,0.5756388697755529,February,0.6304779137505425
May,0.5222663055231542,March,0.5944414105827426
June,0.4776147568893795,April,0.5756388697755529
July,0.456963821693703,May,0.5222663055231542
August,0.44383732070270765,June,0.4776147568893795
September,0.44082225172834405,July,0.456963821693703
October,0.4521356131616141,August,0.44383732070270765
November,0.5193909473183714,September,0.44082225172834405
December,0.5976741338659216,October,0.4521356131616141
