Year,Month,Day,RF_in
2026,3,31,0.0509435409496949
2026,4,1,0.0071113149220757
2026,4,2,0.0094537993637178
2026,4,3,5.985211385076313e-05
2026,4,4,4.177272474244592e-08
2026,4,5,0.0024043613288102
2026,4,6,0.0001887535317664
2026,4,7,0.0804829998429829
2026,4,8,0.3389896256728759
2026,4,9,0.0738954289123826
2026,4,10,0.417862420551652
2026,4,11,0.3160273953453844
2026,4,12,0.8874867119339033
2026,4,13,0.0092817254417362
2026,4,14,1.9688275902978105e-07
2026,4,15,6.002355094438127e-07
2026,4,16,0.0006410739993613
2026,4,17,7.237499082122221e-08
2026,4,18,0.0006427489205886
2026,4,19,0.0
2026,4,20,0.0
2026,4,21,8.346811370132669e-08
