oldMonth,RF_in,Month,RF
January,4.362677462518863,May,1.3781801105639488
February,3.2986676164804942,June,0.5886792332759208
March,3.8127314065924507,July,0.6932832797619813
April,2.533424439310598,August,0.77271418486628
May,1.3781801105639488,September,0.7637565337737295
June,0.5886792332759208,October,2.0096454008042004
July,0.6932832797619813,November,2.9748509258532496
August,0.77271418486628,December,4.183409309022327
September,0.7637565337737295,January,4.362677462518863
October,2.0096454008042004,February,3.2986676164804942
November,2.9748509258532496,March,3.8127314065924507
December,4.183409309022327,April,2.533424439310598
