oldMonth,RF_in,Month,RF
January,7.397897740366771,May,5.446844029358052
February,6.32439383141033,June,3.993910383838252
March,7.480625894141371,July,5.332075359660784
April,6.197166428904433,August,5.421725426359087
May,5.446844029358052,September,5.072406994436558
June,3.993910383838252,October,6.967740899880319
July,5.332075359660784,November,8.182583488534142
August,5.421725426359087,December,8.032630931283084
September,5.072406994436558,January,7.397897740366771
October,6.967740899880319,February,6.32439383141033
November,8.182583488534142,March,7.480625894141371
December,8.032630931283084,April,6.197166428904433
