oldMonth,oldNDVI,Month,NDVI
January,0.6564145293059173,November,0.6401844260133344
February,0.6156853588716483,December,0.6098394040708189
March,0.5610589618447386,January,0.6564145293059173
April,0.56224936026114,February,0.6156853588716483
May,0.5861087936734655,March,0.5610589618447386
June,0.5858933429772357,April,0.56224936026114
July,0.553169744986075,May,0.5861087936734655
August,0.5903492209352093,June,0.5858933429772357
September,0.5903683080066416,July,0.553169744986075
October,0.6498613656416238,August,0.5903492209352093
November,0.6401844260133344,September,0.5903683080066416
December,0.6098394040708189,October,0.6498613656416238
