Year,Month,Day,RF_in
2026,2,1,0.0051442418210161
2026,2,2,0.2137242826437874
2026,2,3,0.0247809995167501
2026,2,4,0.0
2026,2,5,1.4095146636683843e-06
2026,2,6,0.0407603239658519
2026,2,7,1.9791025877624675
2026,2,8,0.577236059468261
2026,2,9,0.2509580270836371
2026,2,10,0.0275535616870523
2026,2,11,0.0001548630590745
2026,2,12,0.0002454642340058
2026,2,13,6.488159253991959e-05
2026,2,14,0.0011670621894383
2026,2,15,0.0029419758721506
2026,2,16,0.0017780715063152
2026,2,17,0.0019423374342155
2026,2,18,0.0004904630801368
2026,2,19,0.0008009620828555
2026,2,20,0.0387864304293438
2026,2,21,0.4264703236829554
2026,2,22,0.0062866462172787
2026,2,23,0.1222578026271021
2026,2,24,0.0052251409740342
2026,2,25,0.0006595268140117
2026,2,26,0.0001398740872078
2026,2,27,0.0
2026,2,28,0.010447846541799193
