,oldMonth,oldET,Month,ET
0,January,2.19369940745773,June,2.883484752415459
1,February,2.3563689236111114,July,2.9216177536231887
2,March,2.7912673611111116,August,2.496038043478261
3,April,2.880051096906566,September,2.2071141304347823
4,May,2.953708333333333,October,2.137279786284394
5,June,2.883484752415459,November,2.121254187892739
6,July,2.9216177536231887,December,1.8987389241455876
7,August,2.496038043478261,January,2.19369940745773
8,September,2.2071141304347823,February,2.3563689236111114
9,October,2.137279786284394,March,2.7912673611111116
10,November,2.121254187892739,April,2.880051096906566
11,December,1.8987389241455876,May,2.953708333333333
