oldMonth,oldNDVI,Month,NDVI
January,0.5162475953278718,November,0.43611752827962236
February,0.5060070141450859,December,0.49803692664629146
March,0.49831009476273147,January,0.5162475953278718
April,0.45666284099263676,February,0.5060070141450859
May,0.4390488639969205,March,0.49831009476273147
June,0.39206079879717265,April,0.45666284099263676
July,0.3485056405280277,May,0.4390488639969205
August,0.3416802944281162,June,0.39206079879717265
September,0.3526389519599994,July,0.3485056405280277
October,0.36502836640404157,August,0.3416802944281162
November,0.43611752827962236,September,0.3526389519599994
December,0.49803692664629146,October,0.36502836640404157
