oldMonth,RF_in,Month,RF
January,3.410782759055976,May,0.5776076249289852
February,2.404847284409278,June,0.12392723017933178
March,2.623959035896607,July,0.24047406110948943
April,1.5977644367336041,August,0.2909901542766566
May,0.5776076249289852,September,0.2752710119454494
June,0.12392723017933178,October,0.9920428851144709
July,0.24047406110948943,November,1.975295969487616
August,0.2909901542766566,December,2.978367948363046
September,0.2752710119454494,January,3.410782759055976
October,0.9920428851144709,February,2.404847284409278
November,1.975295969487616,March,2.623959035896607
December,2.978367948363046,April,1.5977644367336041
