,oldMonth,oldET,Month,ET
0,January,2.6285004997895625,June,4.299356942875965
1,February,2.8199634928150554,July,4.3773541575172015
2,March,3.478214576945046,August,4.153715935094653
3,April,3.7708907211209843,September,3.82204586627141
4,May,4.148102208844397,October,3.294827359901731
5,June,4.299356942875965,November,2.758099688656754
6,July,4.3773541575172015,December,2.265274119711334
7,August,4.153715935094653,January,2.6285004997895625
8,September,3.82204586627141,February,2.8199634928150554
9,October,3.294827359901731,March,3.478214576945046
10,November,2.758099688656754,April,3.7708907211209843
11,December,2.265274119711334,May,4.148102208844397
