oldMonth,oldNDVI,Month,NDVI
January,0.5855810848283179,November,0.5173330914532697
February,0.6083997486255787,December,0.5466282154601297
March,0.5657333223319349,January,0.5855810848283179
April,0.5289837646122105,February,0.6083997486255787
May,0.5165743479135483,March,0.5657333223319349
June,0.4819128302767066,April,0.5289837646122105
July,0.46666023239903753,May,0.5165743479135483
August,0.4638688367316526,June,0.4819128302767066
September,0.47980092801259794,July,0.46666023239903753
October,0.48801223957753703,August,0.4638688367316526
November,0.5173330914532697,September,0.47980092801259794
December,0.5466282154601297,October,0.48801223957753703
