oldMonth,oldNDVI,Month,NDVI
January,0.6940511484318196,April,0.6360866677047861
February,0.6569219663498634,May,0.6340404249664046
March,0.6366801809834393,June,0.6314272160543676
April,0.6360866677047861,July,0.6144421569302551
May,0.6340404249664046,August,0.6109759456638144
June,0.6314272160543676,September,0.6424338059094783
July,0.6144421569302551,October,0.6558540087026975
August,0.6109759456638144,November,0.6577280430372624
September,0.6424338059094783,December,0.6903247905705843
October,0.6558540087026975,January,0.6940511484318196
November,0.6577280430372624,February,0.6569219663498634
December,0.6903247905705843,March,0.6366801809834393
