oldMonth,RF_in,Month,RF
January,10.628645052719643,May,6.1323853148618115
February,10.51081442531888,June,3.8166891321662626
March,15.595347192083624,July,5.913483331936942
April,13.661484815287947,August,7.1503303974349715
May,6.1323853148618115,September,4.235496140583574
June,3.8166891321662626,October,6.332348869727568
July,5.913483331936942,November,11.670095518307292
August,7.1503303974349715,December,12.221290305724779
September,4.235496140583574,January,10.628645052719643
October,6.332348869727568,February,10.51081442531888
November,11.670095518307292,March,15.595347192083624
December,12.221290305724779,April,13.661484815287947
