,oldMonth,tmean_f,Month,Temp
0,January,63.681497953031155,April,64.78729775511188
1,February,63.21958828946133,May,66.04800204053338
2,March,63.856797740122936,June,67.25174884560667
3,April,64.78729775511188,July,68.53557287145544
4,May,66.04800204053338,August,69.14196950653452
5,June,67.25174884560667,September,68.73448780201099
6,July,68.53557287145544,October,68.13701315043885
7,August,69.14196950653452,November,66.57820592809607
8,September,68.73448780201099,December,64.66486997251157
9,October,68.13701315043885,January,63.681497953031155
10,November,66.57820592809607,February,63.21958828946133
11,December,64.66486997251157,March,63.856797740122936
