oldMonth,RF_in,Month,RF
January,11.221616830517393,May,9.790212681686851
February,11.689398349974944,June,7.074359269735752
March,15.616882150431788,July,10.28071776936398
April,13.680601214500417,August,12.145628642620647
May,9.790212681686851,September,9.049156676793404
June,7.074359269735752,October,10.910005655274857
July,10.28071776936398,November,13.372981224349093
August,12.145628642620647,December,13.711824464567465
September,9.049156676793404,January,11.221616830517393
October,10.910005655274857,February,11.689398349974944
November,13.372981224349093,March,15.616882150431788
December,13.711824464567465,April,13.680601214500417
