,oldMonth,tmean_f,Month,Temp
0,January,71.5913070678711,February,71.41370162963867
1,February,71.41370162963867,March,72.16803922653199
2,March,72.16803922653199,April,73.19446859359742
3,April,73.19446859359742,May,74.23450784683229
4,May,74.23450784683229,June,75.288041305542
5,June,75.288041305542,July,76.34492349624634
6,July,76.34492349624634,August,76.97547101974487
7,August,76.97547101974487,September,76.93128213882446
8,September,76.93128213882446,October,76.22197284698487
9,October,76.22197284698487,November,74.62520027160645
10,November,74.62520027160645,December,72.73303270339966
11,December,72.73303270339966,January,71.5913070678711
