oldMonth,oldNDVI,Month,NDVI
January,0.6009224067778277,February,0.5051157657916729
February,0.5051157657916729,March,0.4199950778667743
March,0.4199950778667743,April,0.3626565684757289
April,0.3626565684757289,May,0.4892616633127427
May,0.4892616633127427,June,0.5045242645331388
June,0.5045242645331388,July,0.4246790481742317
July,0.4246790481742317,August,0.5424269278373944
August,0.5424269278373944,September,0.5860749487340803
September,0.5860749487340803,October,0.5279495120753903
October,0.5279495120753903,November,0.5476775733676887
November,0.5476775733676887,December,0.5936854266556056
December,0.5936854266556056,January,0.6009224067778277
