oldMonth,oldNDVI,Month,NDVI
January,0.64782009360231,November,0.5950357347653236
February,0.6130194581585166,December,0.65536838296019
March,0.5743977299442998,January,0.64782009360231
April,0.5433962922490221,February,0.6130194581585166
May,0.5352494284185136,March,0.5743977299442998
June,0.5351053022364719,April,0.5433962922490221
July,0.5100839122181717,May,0.5352494284185136
August,0.5616043902303871,June,0.5351053022364719
September,0.5733757055269914,July,0.5100839122181717
October,0.5631201962346931,August,0.5616043902303871
November,0.5950357347653236,September,0.5733757055269914
December,0.65536838296019,October,0.5631201962346931
