oldMonth,RF_in,Month,RF
January,6.512932746798563,May,4.407424559709058
February,6.039359865208276,June,3.158196116621736
March,8.261618120723957,July,4.729681601113706
April,7.4228642477497395,August,5.170451272203489
May,4.407424559709058,September,2.8288347134935203
June,3.158196116621736,October,4.1536664369707745
July,4.729681601113706,November,6.709604975380948
August,5.170451272203489,December,6.924326960909759
September,2.8288347134935203,January,6.512932746798563
October,4.1536664369707745,February,6.039359865208276
November,6.709604975380948,March,8.261618120723957
December,6.924326960909759,April,7.4228642477497395
