,Month,NDVI
293,September,0.7123143702377508
294,October,0.6979380949043933
295,November,0.7559350096149209
296,December,0.6709262706615307
297,January,0.6646128054018374
298,February,0.6832104906623746
299,March,0.6132045321994357
300,April,0.5743288110803675
301,May,0.4155998229980469
302,June,0.4306813463752652
303,July,0.4059724690001688
304,August,0.4966181531364535
