,Month,tmean_f
421,February,64.15277777777777
422,March,64.55677625868056
423,April,65.70458984375
424,May,65.97785101996527
425,June,67.48896484375
426,July,68.7277370876736
427,August,69.26258409288195
428,September,68.70747884114583
429,October,67.94013671875001
430,November,66.60748155381944
431,December,65.22162543402777
432,January,64.2653781467014
