,oldMonth,oldET,Month,ET
0,January,2.690400752314815,June,3.6439107789855076
1,February,2.8292713758680557,July,3.362109315408085
2,March,3.203998436484731,August,3.3375967772692605
3,April,3.241337494624268,September,3.261213688660056
4,May,3.530636596469728,October,2.8434198607932872
5,June,3.6439107789855076,November,2.443220108695652
6,July,3.362109315408085,December,2.1813768115942027
7,August,3.3375967772692605,January,2.690400752314815
8,September,3.261213688660056,February,2.8292713758680557
9,October,2.8434198607932872,March,3.203998436484731
10,November,2.443220108695652,April,3.241337494624268
11,December,2.1813768115942027,May,3.530636596469728
