Year,Month,NDVI,datetime
2009.0,7.0,0.29738487432032457,2009-07-01
2009.0,8.0,0.2651535787700135,2009-08-01
2009.0,9.0,0.4419660215024595,2009-09-01
2009.0,10.0,0.33923570609387055,2009-10-01
2009.0,11.0,0.28306395919234667,2009-11-01
2009.0,12.0,0.37845766985857926,2009-12-01
2010.0,1.0,0.6391542222764757,2010-01-01
2010.0,2.0,0.49142225289050445,2010-02-01
2010.0,3.0,0.3519732157389323,2010-03-01
2010.0,4.0,0.41622482111424575,2010-04-01
2010.0,5.0,0.3549521646381896,2010-05-01
2010.0,6.0,0.2536825721646533,2010-06-01
2010.0,7.0,0.24738311767578125,2010-07-01
2010.0,8.0,0.2427816508728781,2010-08-01
2010.0,9.0,0.3014425112877363,2010-09-01
2010.0,10.0,0.332638328458056,2010-10-01
2010.0,11.0,0.5182568585431134,2010-11-01
2010.0,12.0,0.6151238900643808,2010-12-01
2011.0,1.0,0.6804329671977479,2011-01-01
2011.0,2.0,0.6098180700231481,2011-02-01
2011.0,3.0,0.39113390887225113,2011-03-01
2011.0,4.0,0.3159332746340905,2011-04-01
2011.0,5.0,0.45999206731348863,2011-05-01
2011.0,6.0,0.39501976672513983,2011-06-01
2011.0,7.0,0.4245842827690972,2011-07-01
2011.0,8.0,0.43757765970112367,2011-08-01
2011.0,9.0,0.32767627857349535,2011-09-01
2011.0,10.0,0.28164931874216337,2011-10-01
2011.0,11.0,0.23164692631474249,2011-11-01
2011.0,12.0,0.2738088442955488,2011-12-01
2012.0,1.0,0.6433550045814043,2012-01-01
2012.0,2.0,0.5453600000452112,2012-02-01
2012.0,3.0,0.4302945078155141,2012-03-01
2012.0,4.0,0.2671339717912085,2012-04-01
2012.0,5.0,0.3319363064236111,2012-05-01
2012.0,6.0,0.2734954504319179,2012-06-01
2012.0,7.0,0.3316790027382933,2012-07-01
2012.0,8.0,0.3242459238311391,2012-08-01
2012.0,9.0,0.42322681568287035,2012-09-01
2012.0,10.0,0.37380753034426845,2012-10-01
2012.0,11.0,0.3351939872459129,2012-11-01
2012.0,12.0,0.41043882016782407,2012-12-01
2013.0,1.0,0.3924888328269676,2013-01-01
2013.0,2.0,0.3709598117404514,2013-02-01
2013.0,3.0,0.4734632233042776,2013-03-01
2013.0,4.0,0.6001132917992863,2013-04-01
2013.0,5.0,0.3630030832172912,2013-05-01
2013.0,6.0,0.5257858464747299,2013-06-01
2013.0,7.0,0.3732401765423057,2013-07-01
2013.0,8.0,0.3490847834834346,2013-08-01
2013.0,9.0,0.32446331448025173,2013-09-01
2013.0,10.0,0.293485994692202,2013-10-01
2013.0,11.0,0.23657294850290558,2013-11-01
2013.0,12.0,0.5864140074930073,2013-12-01
2014.0,1.0,0.6426290347252364,2014-01-01
2014.0,2.0,0.8243670993381076,2014-02-01
2014.0,3.0,0.7351312048641252,2014-03-01
2014.0,4.0,0.671484676408179,2014-04-01
2014.0,5.0,0.5106139948338638,2014-05-01
2014.0,6.0,0.6621571293583622,2014-06-01
2014.0,7.0,0.5578407475977768,2014-07-01
2014.0,8.0,0.40785499855324076,2014-08-01
2014.0,9.0,0.6040523199387539,2014-09-01
2014.0,10.0,0.5180254335756656,2014-10-01
2014.0,11.0,0.5658358821162471,2014-11-01
2014.0,12.0,0.5554234540020978,2014-12-01
2015.0,1.0,0.7082164905689381,2015-01-01
2015.0,2.0,0.6792580875349633,2015-02-01
2015.0,3.0,0.6436002283920477,2015-03-01
2015.0,4.0,0.6738656597372926,2015-04-01
2015.0,5.0,0.6533032170048466,2015-05-01
2015.0,6.0,0.45748326807846257,2015-06-01
2015.0,7.0,0.41228004738136576,2015-07-01
2015.0,8.0,0.41052688787012925,2015-08-01
2015.0,9.0,0.6362884898244598,2015-09-01
2015.0,10.0,0.6719847785101997,2015-10-01
2015.0,11.0,0.7401194631317516,2015-11-01
2015.0,12.0,0.7206407240879389,2015-12-01
2016.0,1.0,0.68687989976671,2016-01-01
2016.0,2.0,0.5894568643452208,2016-02-01
2016.0,3.0,0.4836899557231385,2016-03-01
2016.0,4.0,0.5062176739728009,2016-04-01
2016.0,5.0,0.528146767321928,2016-05-01
2016.0,6.0,0.5945572087794174,2016-06-01
2016.0,7.0,0.4583909776475694,2016-07-01
2016.0,8.0,0.4597288532021605,2016-08-01
2016.0,9.0,0.6555327898190345,2016-09-01
2016.0,10.0,0.6860709484712577,2016-10-01
2016.0,11.0,0.5368836956259645,2016-11-01
2016.0,12.0,0.5000010831856433,2016-12-01
2017.0,1.0,0.7079969806435668,2017-01-01
2017.0,2.0,0.7475401324990355,2017-02-01
2017.0,3.0,0.767274550449701,2017-03-01
2017.0,4.0,0.6612543647671923,2017-04-01
2017.0,5.0,0.419179798644266,2017-05-01
2017.0,6.0,0.3829481807755835,2017-06-01
2017.0,7.0,0.4105871695059317,2017-07-01
2017.0,8.0,0.33811234839168597,2017-08-01
2017.0,9.0,0.3575330192660108,2017-09-01
2017.0,10.0,0.34084320068359375,2017-10-01
2017.0,11.0,0.5285343123070988,2017-11-01
2017.0,12.0,0.7308048672146268,2017-12-01
2018.0,1.0,0.7897168383186246,2018-01-01
2018.0,2.0,0.7842267825279707,2018-02-01
2018.0,3.0,0.6778405742880739,2018-03-01
2018.0,4.0,0.5205510457356771,2018-04-01
2018.0,5.0,0.7586198029694734,2018-05-01
2018.0,6.0,0.5699337617850598,2018-06-01
2018.0,7.0,0.530138463149836,2018-07-01
2018.0,8.0,0.509688483344184,2018-08-01
2018.0,9.0,0.5844814159252025,2018-09-01
2018.0,10.0,0.7542220221625434,2018-10-01
2018.0,11.0,0.7565934922960069,2018-11-01
2018.0,12.0,0.7169964637285398,2018-12-01
2019.0,1.0,0.761657809033806,2019-01-01
2019.0,2.0,0.4550005123939043,2019-02-01
2019.0,3.0,0.6254085493676457,2019-03-01
2019.0,4.0,0.6457027859157987,2019-04-01
2019.0,5.0,0.5746100625874083,2019-05-01
2019.0,6.0,0.6729217340916763,2019-06-01
2019.0,7.0,0.5920548615632234,2019-07-01
