oldMonth,RF_in,Month,RF
January,3.475709967775245,May,2.1963598351532534
February,2.9896888477108847,June,1.4765750279911072
March,3.652929595096845,July,2.2497518471668827
April,3.534628325445378,August,2.5018485773123773
May,2.1963598351532534,September,1.453762524868884
June,1.4765750279911072,October,1.96428654720212
July,2.2497518471668827,November,3.062698788763761
August,2.5018485773123773,December,3.1787119290773833
September,1.453762524868884,January,3.475709967775245
October,1.96428654720212,February,2.9896888477108847
November,3.062698788763761,March,3.652929595096845
December,3.1787119290773833,April,3.534628325445378
