oldMonth,oldNDVI,Month,NDVI
January,0.6273033744906202,November,0.5016087397822627
February,0.6044822598681038,December,0.6168315633138021
March,0.5565437825520834,January,0.6273033744906202
April,0.4970780052916843,February,0.6044822598681038
May,0.47807219904712117,March,0.5565437825520834
June,0.43181539736582,April,0.4970780052916843
July,0.37477924296206105,May,0.47807219904712117
August,0.4085207048870786,June,0.43181539736582
September,0.43408853126953356,July,0.37477924296206105
October,0.43043674476239524,August,0.4085207048870786
November,0.5016087397822627,September,0.43408853126953356
December,0.6168315633138021,October,0.43043674476239524
