oldMonth,RF_in,Month,RF
January,2.52820290189551,May,1.9140002933523057
February,2.201416641639879,June,1.0502374380516635
March,2.837708694699316,July,1.491011612730311
April,2.35091281183106,August,1.8384223978891199
May,1.9140002933523057,September,1.5522489015260417
June,1.0502374380516635,October,1.8195881051160339
July,1.491011612730311,November,1.9533002816629208
August,1.8384223978891199,December,2.0220350232768705
September,1.5522489015260417,January,2.52820290189551
October,1.8195881051160339,February,2.201416641639879
November,1.9533002816629208,March,2.837708694699316
December,2.0220350232768705,April,2.35091281183106
