oldMonth,oldNDVI,Month,NDVI
January,0.5190515381612895,November,0.5264623100374952
February,0.47606842700346014,December,0.5383374230655623
March,0.43610172601393704,January,0.5190515381612895
April,0.4190468213044227,February,0.47606842700346014
May,0.43100021956426576,March,0.43610172601393704
June,0.48212429238633664,April,0.4190468213044227
July,0.49884438944904436,May,0.43100021956426576
August,0.46351329915770323,June,0.48212429238633664
September,0.4411796414048357,July,0.49884438944904436
October,0.4816697157799122,August,0.46351329915770323
November,0.5264623100374952,September,0.4411796414048357
December,0.5383374230655623,October,0.4816697157799122
