oldMonth,RF_in,Month,RF
January,7.065256794232314,May,4.936874289651091
February,5.626116222516063,June,3.2293626648243756
March,7.514784106669046,July,4.172507178915022
April,5.990423120754229,August,4.3004035523256
May,4.936874289651091,September,3.768465958368283
June,3.2293626648243756,October,5.6289097563161405
July,4.172507178915022,November,7.420732385483019
August,4.3004035523256,December,7.4044445688699145
September,3.768465958368283,January,7.065256794232314
October,5.6289097563161405,February,5.626116222516063
November,7.420732385483019,March,7.514784106669046
December,7.4044445688699145,April,5.990423120754229
