oldMonth,oldNDVI,Month,NDVI
January,0.6706306174949362,November,0.6013063906445916
February,0.6185828653971354,December,0.603855993953752
March,0.5550380574921031,January,0.6706306174949362
April,0.53943981132616,February,0.6185828653971354
May,0.606747553898738,March,0.5550380574921031
June,0.5642596821726105,April,0.53943981132616
July,0.5748088072281391,May,0.606747553898738
August,0.5699556999170315,June,0.5642596821726105
September,0.5651584944041252,July,0.5748088072281391
October,0.5748385694744693,August,0.5699556999170315
November,0.6013063906445916,September,0.5651584944041252
December,0.603855993953752,October,0.5748385694744693
