,oldMonth,OldTemp,Month,Temp
0,January,70.72058342140433,May,74.42283389097267
1,February,70.42232684736236,June,76.38997272660538
2,March,68.92404835045596,July,77.3094911670085
3,April,72.7996696371827,August,77.93298729540369
4,May,74.42283389097267,September,77.8329560013473
5,June,76.38997272660538,October,76.68643219697134
6,July,77.3094911670085,November,74.46139908188333
7,August,77.93298729540369,December,72.31099708354752
8,September,77.8329560013473,January,70.72058342140433
9,October,76.68643219697134,February,70.42232684736236
10,November,74.46139908188333,March,68.92404835045596
11,December,72.31099708354752,April,72.7996696371827
