oldMonth,oldNDVI,Month,NDVI
January,0.5321066858739029,November,0.45109095067153737
February,0.5435314244399836,December,0.5231932972095631
March,0.5133648559193552,January,0.5321066858739029
April,0.4597390039920354,February,0.5435314244399836
May,0.43306715694474585,March,0.5133648559193552
June,0.39305847073778694,April,0.4597390039920354
July,0.3466188135536534,May,0.43306715694474585
August,0.34052666050982494,June,0.39305847073778694
September,0.357307436799052,July,0.3466188135536534
October,0.38216558911069054,August,0.34052666050982494
November,0.45109095067153737,September,0.357307436799052
December,0.5231932972095631,October,0.38216558911069054
