oldMonth,RF_in,Month,RF
January,4.2561709008919735,May,1.351446116550313
February,2.9023323623258914,June,0.657264930775908
March,3.3316272912868334,July,1.0280973617376585
April,2.10226546526409,August,1.0708547637841275
May,1.351446116550313,September,1.4323742368238332
June,0.657264930775908,October,2.0556942558109106
July,1.0280973617376585,November,2.9314270375245295
August,1.0708547637841275,December,3.323375862598326
September,1.4323742368238332,January,4.2561709008919735
October,2.0556942558109106,February,2.9023323623258914
November,2.9314270375245295,March,3.3316272912868334
December,3.323375862598326,April,2.10226546526409
