,Year,Month,ET,datetime
106,2009.0,11.0,2.279739583333334,2009-11-01
107,2009.0,12.0,1.8655208333333333,2009-12-01
108,2010.0,1.0,2.0537828947368424,2010-01-01
109,2010.0,2.0,2.010520833333333,2010-02-01
110,2010.0,3.0,2.5786979166666666,2010-03-01
111,2010.0,4.0,2.8034375,2010-04-01
112,2010.0,5.0,2.9977083333333336,2010-05-01
113,2010.0,6.0,2.733697916666667,2010-06-01
114,2010.0,7.0,2.560885416666667,2010-07-01
115,2010.0,8.0,2.1364583333333336,2010-08-01
116,2010.0,9.0,2.035526315789474,2010-09-01
117,2010.0,10.0,1.8945833333333333,2010-10-01
118,2010.0,11.0,2.046875,2010-11-01
119,2010.0,12.0,1.3586458333333336,2010-12-01
120,2011.0,1.0,1.92625,2011-01-01
121,2011.0,2.0,2.4395312500000004,2011-02-01
122,2011.0,3.0,2.63703125,2011-03-01
123,2011.0,4.0,2.869895833333333,2011-04-01
124,2011.0,5.0,3.0928125,2011-05-01
125,2011.0,6.0,3.5038020833333343,2011-06-01
126,2011.0,7.0,2.637291666666667,2011-07-01
127,2011.0,8.0,2.38,2011-08-01
128,2011.0,9.0,1.702395833333333,2011-09-01
129,2011.0,10.0,1.7056250000000002,2011-10-01
130,2011.0,11.0,1.851875,2011-11-01
131,2011.0,12.0,1.733177083333333,2011-12-01
132,2012.0,1.0,1.97875,2012-01-01
133,2012.0,2.0,2.0515625,2012-02-01
134,2012.0,3.0,2.7284375,2012-03-01
135,2012.0,4.0,2.9346491228070177,2012-04-01
136,2012.0,5.0,2.539791666666667,2012-05-01
137,2012.0,6.0,2.869166666666667,2012-06-01
138,2012.0,7.0,2.744736842105264,2012-07-01
139,2012.0,8.0,2.3139583333333333,2012-08-01
140,2012.0,9.0,2.0289583333333336,2012-09-01
141,2012.0,10.0,2.243958333333333,2012-10-01
142,2012.0,11.0,1.4831249999999998,2012-11-01
143,2012.0,12.0,1.6261718750000005,2012-12-01
144,2013.0,1.0,2.371354166666667,2013-01-01
145,2013.0,2.0,2.2747916666666668,2013-02-01
146,2013.0,3.0,2.4554687500000005,2013-03-01
147,2013.0,4.0,3.0990625,2013-04-01
148,2013.0,5.0,2.985833333333334,2013-05-01
149,2013.0,6.0,3.047106481481481,2013-06-01
150,2013.0,7.0,2.654635416666667,2013-07-01
151,2013.0,8.0,2.265989583333333,2013-08-01
152,2013.0,9.0,2.236875,2013-09-01
153,2013.0,10.0,1.513815789473684,2013-10-01
154,2013.0,11.0,1.9248958333333333,2013-11-01
155,2013.0,12.0,2.220520833333333,2013-12-01
156,2014.0,1.0,2.547708333333333,2014-01-01
157,2014.0,2.0,2.8309895833333334,2014-02-01
158,2014.0,3.0,3.613697916666667,2014-03-01
159,2014.0,4.0,3.3921875,2014-04-01
160,2014.0,5.0,3.0940625000000006,2014-05-01
161,2014.0,6.0,3.86296875,2014-06-01
162,2014.0,7.0,3.7952083333333326,2014-07-01
163,2014.0,8.0,3.181458333333333,2014-08-01
164,2014.0,9.0,2.4709375000000007,2014-09-01
165,2014.0,10.0,2.977291666666667,2014-10-01
166,2014.0,11.0,2.5914062500000004,2014-11-01
167,2014.0,12.0,1.83640625,2014-12-01
168,2015.0,1.0,1.9794270833333327,2015-01-01
169,2015.0,2.0,2.5497916666666667,2015-02-01
170,2015.0,3.0,2.663854166666667,2015-03-01
171,2015.0,4.0,3.185208333333333,2015-04-01
172,2015.0,5.0,2.9726041666666667,2015-05-01
173,2015.0,6.0,3.1548437500000004,2015-06-01
174,2015.0,7.0,3.235625,2015-07-01
175,2015.0,8.0,3.2610294117647065,2015-08-01
176,2015.0,9.0,3.847291666666667,2015-09-01
177,2015.0,10.0,3.6998958333333336,2015-10-01
178,2015.0,11.0,2.99109375,2015-11-01
179,2015.0,12.0,2.48578125,2015-12-01
180,2016.0,1.0,2.26828125,2016-01-01
181,2016.0,2.0,2.1996875,2016-02-01
182,2016.0,3.0,2.3052083333333337,2016-03-01
183,2016.0,4.0,2.9613541666666667,2016-04-01
184,2016.0,5.0,3.016666666666667,2016-05-01
