oldMonth,RF_in,Month,RF
January,5.169832264844555,May,1.7231165884426243
February,4.002871148071788,June,1.032636624722828
March,3.999989118535926,July,1.1219025986183562
April,2.9098325941422507,August,1.4611415664014964
May,1.7231165884426243,September,1.3438727976371692
June,1.032636624722828,October,2.5652128729900916
July,1.1219025986183562,November,3.567140530739753
August,1.4611415664014964,December,5.071282373984506
September,1.3438727976371692,January,5.169832264844555
October,2.5652128729900916,February,4.002871148071788
November,3.567140530739753,March,3.999989118535926
December,5.071282373984506,April,2.9098325941422507
