oldMonth,RF_in,Month,RF
January,4.562867157579101,May,1.2429383123469864
February,3.3172841658383385,June,0.5751628870449886
March,3.303678161273584,July,1.1200904822402504
April,2.155681573610422,August,1.8696980557445326
May,1.2429383123469864,September,1.9578365427653275
June,0.5751628870449886,October,2.8138595099651287
July,1.1200904822402504,November,4.08023603539143
August,1.8696980557445326,December,3.6223230333759124
September,1.9578365427653275,January,4.562867157579101
October,2.8138595099651287,February,3.3172841658383385
November,4.08023603539143,March,3.303678161273584
December,3.6223230333759124,April,2.155681573610422
