,oldMonth,OldTemp,Month,Temp
0,January,72.02764424805532,May,74.92395715552416
1,February,71.87928897475355,June,75.97740356789645
2,March,72.58473457711776,July,76.82283337150102
3,April,73.66422525760328,August,77.51575695501701
4,May,74.92395715552416,September,77.46402071011367
5,June,75.97740356789645,October,76.75135656207966
6,July,76.82283337150102,November,75.16887421522388
7,August,77.51575695501701,December,73.26465859762008
8,September,77.46402071011367,January,72.02764424805532
9,October,76.75135656207966,February,71.87928897475355
10,November,75.16887421522388,March,72.58473457711776
11,December,73.26465859762008,April,73.66422525760328
