oldMonth,oldNDVI,Month,NDVI
January,0.5079501745435927,November,0.3644463994767931
February,0.5410800308651393,December,0.44489705615573455
March,0.4969774521721734,January,0.5079501745435927
April,0.4234739898616432,February,0.5410800308651393
May,0.36722341001543224,March,0.4969774521721734
June,0.32079434700501264,April,0.4234739898616432
July,0.3051602127205612,May,0.36722341001543224
August,0.2910552778814593,June,0.32079434700501264
September,0.2939506636725531,July,0.3051602127205612
October,0.32175184926416117,August,0.2910552778814593
November,0.3644463994767931,September,0.2939506636725531
December,0.44489705615573455,October,0.32175184926416117
