,oldMonth,OldTemp,Month,Temp
0,January,69.18702236907838,April,70.84087607920279
1,February,68.91871151365564,May,72.33779377870299
2,March,69.47506173418962,June,74.02189459546935
3,April,70.84087607920279,July,74.97378899879237
4,May,72.33779377870299,August,75.64439179451088
5,June,74.02189459546935,September,75.45319376614066
6,July,74.97378899879237,October,74.62153385659785
7,August,75.64439179451088,November,72.75218619659161
8,September,75.45319376614066,December,70.66120134126467
9,October,74.62153385659785,January,69.18702236907838
10,November,72.75218619659161,February,68.91871151365564
11,December,70.66120134126467,March,69.47506173418962
