,Month,Temp,Year,datetime
0,1.0,75.4189697265625,,1990-01-01
1,2.0,74.17703247070312,,1990-02-01
2,3.0,74.76862182617188,,1990-03-01
3,4.0,78.14884643554689,,1990-04-01
4,5.0,78.73245849609376,,1990-05-01
5,6.0,80.36329956054688,,1990-06-01
6,7.0,80.93080444335938,,1990-07-01
7,8.0,82.61194458007813,,1990-08-01
8,9.0,83.00645751953125,,1990-09-01
9,10.0,81.72626953125001,,1990-10-01
10,11.0,79.32546997070312,,1990-11-01
11,12.0,76.4071014404297,,1990-12-01
12,1.0,75.43746948242188,,1991-01-01
13,2.0,77.248583984375,,1991-02-01
14,3.0,74.51930541992188,,1991-03-01
15,4.0,77.73037719726562,,1991-04-01
16,5.0,79.23280029296875,,1991-05-01
17,6.0,80.34508666992187,,1991-06-01
18,7.0,81.47527770996095,,1991-07-01
19,8.0,81.61539916992187,,1991-08-01
20,9.0,81.73951110839843,,1991-09-01
21,10.0,81.30130615234376,,1991-10-01
22,11.0,80.82388916015626,,1991-11-01
23,12.0,77.13835449218749,,1991-12-01
24,1.0,75.47212524414063,,1992-01-01
25,2.0,74.59244079589844,,1992-02-01
26,3.0,76.27418823242188,,1992-03-01
27,4.0,78.30743103027343,,1992-04-01
28,5.0,79.37050170898436,,1992-05-01
29,6.0,81.07855834960938,,1992-06-01
30,7.0,81.0141571044922,,1992-07-01
31,8.0,81.99150390624999,,1992-08-01
32,9.0,81.89006958007812,,1992-09-01
33,10.0,81.36738891601563,,1992-10-01
34,11.0,78.78137817382813,,1992-11-01
35,12.0,77.57351684570312,,1992-12-01
36,1.0,74.18742675781249,,1993-01-01
37,2.0,74.34885864257814,,1993-02-01
38,3.0,75.40309448242188,,1993-03-01
39,4.0,77.30623779296874,,1993-04-01
40,5.0,78.00615234375,,1993-05-01
41,6.0,80.43183288574218,,1993-06-01
42,7.0,81.13953857421876,,1993-07-01
43,8.0,81.97144165039063,,1993-08-01
44,9.0,82.23263549804688,,1993-09-01
45,10.0,80.789990234375,,1993-10-01
46,11.0,77.92073974609374,,1993-11-01
47,12.0,76.22148742675782,,1993-12-01
48,1.0,73.98551635742189,,1994-01-01
49,2.0,75.55023498535157,,1994-02-01
50,3.0,75.58781433105469,,1994-03-01
51,4.0,76.59297180175781,,1994-04-01
52,5.0,78.70107421875,,1994-05-01
53,6.0,79.96184387207032,,1994-06-01
54,7.0,81.73175048828125,,1994-07-01
55,8.0,82.90110473632814,,1994-08-01
56,9.0,83.30810546875,,1994-09-01
57,10.0,81.752734375,,1994-10-01
58,11.0,78.21318359375,,1994-11-01
59,12.0,75.59745483398439,,1994-12-01
60,1.0,75.56870727539064,,1995-01-01
61,2.0,75.79366455078124,,1995-02-01
62,3.0,76.95595703125,,1995-03-01
63,4.0,77.15265197753907,,1995-04-01
64,5.0,78.35421447753907,,1995-05-01
65,6.0,80.83737182617188,,1995-06-01
66,7.0,81.93061523437501,,1995-07-01
67,8.0,82.50726928710938,,1995-08-01
68,9.0,83.12601623535156,,1995-09-01
69,10.0,81.58948974609376,,1995-10-01
70,11.0,80.48345336914062,,1995-11-01
71,12.0,79.90313720703125,,1995-12-01
72,1.0,77.78093872070312,,1996-01-01
73,2.0,75.0045654296875,,1996-02-01
74,3.0,75.32946166992187,,1996-03-01
75,4.0,78.66138305664063,,1996-04-01
76,5.0,79.79665832519532,,1996-05-01
77,6.0,82.27368774414063,,1996-06-01
78,7.0,82.5161376953125,,1996-07-01
79,8.0,83.61236572265625,,1996-08-01
80,9.0,82.55569458007812,,1996-09-01
81,10.0,83.08040161132813,,1996-10-01
82,11.0,78.84282836914062,,1996-11-01
83,12.0,76.16343383789062,,1996-12-01
84,1.0,75.95138549804688,,1997-01-01
85,2.0,76.96905212402345,,1997-02-01
86,3.0,77.06781616210938,,1997-03-01
87,4.0,78.53475036621094,,1997-04-01
88,5.0,77.89746398925782,,1997-05-01
89,6.0,80.39345703125,,1997-06-01
90,7.0,82.23685913085939,,1997-07-01
91,8.0,82.85714416503906,,1997-08-01
92,9.0,82.79285888671875,,1997-09-01
93,10.0,81.98929748535156,,1997-10-01
94,11.0,78.13395080566406,,1997-11-01
95,12.0,75.533056640625,,1997-12-01
96,1.0,76.62956848144532,,1998-01-01
97,2.0,76.611572265625,,1998-02-01
98,3.0,77.74082946777344,,1998-03-01
99,4.0,75.98087768554689,,1998-04-01
100,5.0,76.363720703125,,1998-05-01
101,6.0,78.63355712890626,,1998-06-01
102,7.0,80.90356750488282,,1998-07-01
103,8.0,82.14924316406251,,1998-08-01
104,9.0,81.27411499023438,,1998-09-01
105,10.0,80.5223876953125,,1998-10-01
106,11.0,78.194921875,,1998-11-01
107,12.0,76.26929931640626,,1998-12-01
108,1.0,75.53748168945313,,1999-01-01
109,2.0,75.49345703125,,1999-02-01
110,3.0,75.696533203125,,1999-03-01
111,4.0,76.64734497070313,,1999-04-01
112,5.0,79.04339599609375,,1999-05-01
113,6.0,79.63580322265625,,1999-06-01
114,7.0,80.32210083007813,,1999-07-01
115,8.0,81.03707275390624,,1999-08-01
116,9.0,80.88167419433594,,1999-09-01
117,10.0,79.88163757324219,,1999-10-01
118,11.0,77.69017333984375,,1999-11-01
119,12.0,75.59494323730469,,1999-12-01
120,1.0,73.93632202148439,,2000-01-01
121,2.0,76.6049591064453,,2000-02-01
122,3.0,77.14464111328125,,2000-03-01
123,4.0,75.82952880859375,,2000-04-01
124,5.0,78.67177124023436,,2000-05-01
125,6.0,80.62240600585938,,2000-06-01
126,7.0,81.14364624023438,,2000-07-01
127,8.0,81.6864990234375,,2000-08-01
128,9.0,80.99028930664062,,2000-09-01
129,10.0,80.73002319335939,,2000-10-01
130,11.0,77.96076049804688,,2000-11-01
131,12.0,77.6868408203125,,2000-12-01
132,1.0,77.48689575195311,,2001-01-01
133,2.0,75.8980712890625,,2001-02-01
134,3.0,76.32347412109375,,2001-03-01
135,4.0,76.68188781738282,,2001-04-01
136,5.0,77.64461669921874,,2001-05-01
137,6.0,79.28554077148438,,2001-06-01
138,7.0,81.23312377929688,,2001-07-01
139,8.0,81.89205627441406,,2001-08-01
140,9.0,81.72120361328125,,2001-09-01
141,10.0,80.5611541748047,,2001-10-01
142,11.0,79.18535766601562,,2001-11-01
143,12.0,76.51712951660156,,2001-12-01
144,1.0,75.64677734375,,2002-01-01
145,2.0,74.3977294921875,,2002-02-01
146,3.0,75.7580780029297,,2002-03-01
147,4.0,77.65580444335937,,2002-04-01
148,5.0,78.66202392578126,,2002-05-01
149,6.0,80.00283508300782,,2002-06-01
150,7.0,80.40901184082031,,2002-07-01
151,8.0,81.78994750976562,,2002-08-01
152,9.0,81.60906372070312,,2002-09-01
153,10.0,80.82250366210937,,2002-10-01
154,11.0,78.99729614257812,,2002-11-01
155,12.0,77.58858642578124,,2002-12-01
156,1.0,75.79351196289062,,2003-01-01
157,2.0,75.06797485351562,,2003-02-01
158,3.0,77.49430847167969,,2003-03-01
159,4.0,77.36399841308594,,2003-04-01
160,5.0,79.72358093261718,,2003-05-01
161,6.0,80.42085876464844,,2003-06-01
162,7.0,81.0786346435547,,2003-07-01
163,8.0,81.99107055664062,,2003-08-01
164,9.0,82.4316162109375,,2003-09-01
165,10.0,82.04196166992188,,2003-10-01
166,11.0,79.00158081054687,,2003-11-01
167,12.0,76.46622924804689,,2003-12-01
168,1.0,75.8120849609375,,2004-01-01
169,2.0,77.29190063476562,,2004-02-01
170,3.0,74.77228393554688,,2004-03-01
171,4.0,77.41294555664064,,2004-04-01
172,5.0,79.3996795654297,,2004-05-01
173,6.0,80.49240417480469,,2004-06-01
174,7.0,81.92785949707032,,2004-07-01
175,8.0,83.14093627929688,,2004-08-01
176,9.0,83.29080200195312,,2004-09-01
177,10.0,81.61417236328126,,2004-10-01
178,11.0,79.91618957519532,,2004-11-01
179,12.0,77.83201904296875,,2004-12-01
180,1.0,76.33855590820312,,2005-01-01
181,2.0,75.99547119140625,,2005-02-01
182,3.0,75.88735656738282,,2005-03-01
183,4.0,77.39227294921875,,2005-04-01
184,5.0,80.07371215820314,,2005-05-01
185,6.0,80.78915710449219,,2005-06-01
