oldMonth,RF_in,Month,RF
January,7.541699891434322,May,3.5708747255235442
February,6.898917742386225,June,1.813533651931115
March,9.772441114516873,July,2.7553675691863737
April,8.943094039650843,August,4.488585072500619
May,3.5708747255235442,September,2.2752002779657783
June,1.813533651931115,October,4.126960013874019
July,2.7553675691863737,November,8.002152175805506
August,4.488585072500619,December,9.030845937338098
September,2.2752002779657783,January,7.541699891434322
October,4.126960013874019,February,6.898917742386225
November,8.002152175805506,March,9.772441114516873
December,9.030845937338098,April,8.943094039650843
