,oldMonth,oldET,Month,ET
0,January,3.0184624565972222,June,4.148878205128206
1,February,3.065090603298611,July,4.265245697463768
2,March,3.6042405348557693,August,4.23204540307971
3,April,3.921104807374338,September,3.652029551630435
4,May,4.161905924479167,October,3.238894550120773
5,June,4.148878205128206,November,2.846676856884058
6,July,4.265245697463768,December,2.5033486186594205
7,August,4.23204540307971,January,3.0184624565972222
8,September,3.652029551630435,February,3.065090603298611
9,October,3.238894550120773,March,3.6042405348557693
10,November,2.846676856884058,April,3.921104807374338
11,December,2.5033486186594205,May,4.161905924479167
