oldMonth,RF_in,Month,RF
January,4.525727334605548,May,2.466008374960082
February,3.4101790467522135,June,2.328196639129002
March,4.8067527387949145,July,3.0397661670824534
April,3.849327718494434,August,3.0336667868081193
May,2.466008374960082,September,1.8267850284752771
June,2.328196639129002,October,2.4766112808494563
July,3.0397661670824534,November,3.8909598412129416
August,3.0336667868081193,December,4.4482452391962415
September,1.8267850284752771,January,4.525727334605548
October,2.4766112808494563,February,3.4101790467522135
November,3.8909598412129416,March,4.8067527387949145
December,4.4482452391962415,April,3.849327718494434
