oldMonth,oldNDVI,Month,NDVI
January,0.7028159021448207,November,0.6235908461205752
February,0.6400506441092786,December,0.6936636088806906
March,0.6197223917643229,January,0.7028159021448207
April,0.5797608367398254,February,0.6400506441092786
May,0.5705053278750051,March,0.6197223917643229
June,0.5223784251996482,April,0.5797608367398254
July,0.5037092370072208,May,0.5705053278750051
August,0.5699711679166991,June,0.5223784251996482
September,0.5061798122873333,July,0.5037092370072208
October,0.5200727060649469,August,0.5699711679166991
November,0.6235908461205752,September,0.5061798122873333
December,0.6936636088806906,October,0.5200727060649469
