oldMonth,oldNDVI,Month,NDVI
January,0.5662825822241513,November,0.5610858700599199
February,0.545269052952896,December,0.5649052485713252
March,0.5284740024142794,January,0.5662825822241513
April,0.4972167852823777,February,0.545269052952896
May,0.45862087746065,March,0.5284740024142794
June,0.5306754913764802,April,0.4972167852823777
July,0.4916225208742553,May,0.45862087746065
August,0.4530777229316327,June,0.5306754913764802
September,0.45348072685973484,July,0.4916225208742553
October,0.4906143530821189,August,0.4530777229316327
November,0.5610858700599199,September,0.45348072685973484
December,0.5649052485713252,October,0.4906143530821189
