,oldMonth,OldTemp,Month,Temp
0,January,58.55247532623779,May,61.00210593353347
1,February,57.872247747537486,June,62.26040947895324
2,March,58.31003545463505,July,63.61765534958382
3,April,59.37331587991437,August,64.03082562370037
4,May,61.00210593353347,September,63.44825243930695
5,June,62.26040947895324,October,63.033940556977115
6,July,63.61765534958382,November,61.415824208715954
7,August,64.03082562370037,December,59.44780928052421
8,September,63.44825243930695,January,58.55247532623779
9,October,63.033940556977115,February,57.872247747537486
10,November,61.415824208715954,March,58.31003545463505
11,December,59.44780928052421,April,59.37331587991437
