oldMonth,RF_in,Month,RF
January,2.3651134589298333,May,1.9358750971050642
February,2.1002192639038424,June,0.9865072250614596
March,2.8327766455241687,July,1.346607967814574
April,2.1233422685176935,August,1.5762527322408222
May,1.9358750971050642,September,1.5296735721411967
June,0.9865072250614596,October,1.8454321562595686
July,1.346607967814574,November,1.725179071148149
August,1.5762527322408222,December,1.8653841372589142
September,1.5296735721411967,January,2.3651134589298333
October,1.8454321562595686,February,2.1002192639038424
November,1.725179071148149,March,2.8327766455241687
December,1.8653841372589142,April,2.1233422685176935
