oldMonth,RF_in,Month,RF
January,13.78016074191566,May,11.206939996781887
February,14.154795232596692,June,6.681856068261661
March,20.146566336775958,July,10.621759042617933
April,18.278357033771105,August,11.893818835654553
May,11.206939996781887,September,7.741198839640218
June,6.681856068261661,October,10.092091653184214
July,10.621759042617933,November,16.42182922164574
August,11.893818835654553,December,15.547647043325744
September,7.741198839640218,January,13.78016074191566
October,10.092091653184214,February,14.154795232596692
November,16.42182922164574,March,20.146566336775958
December,15.547647043325744,April,18.278357033771105
