,oldMonth,tmean_f,Month,Temp
0,January,67.95214924397054,February,67.6393202793451
1,February,67.6393202793451,March,68.32258067189912
2,March,68.32258067189912,April,69.32715039665317
3,April,69.32715039665317,May,70.46885880835264
4,May,70.46885880835264,June,71.59049742898824
5,June,71.59049742898824,July,72.75250937379437
6,July,72.75250937379437,August,73.37229395736883
7,August,73.37229395736883,September,73.16025172104071
8,September,73.16025172104071,October,72.5029512381848
9,October,72.5029512381848,November,70.9228272991416
10,November,70.9228272991416,December,69.02188208309221
11,December,69.02188208309221,January,67.95214924397054
