,oldMonth,OldTemp,Month,Temp
0,January,71.30314086336266,April,72.8958634104965
1,February,71.12618904501744,May,74.17535760164265
2,March,71.8209019361212,June,75.23997744464214
3,April,72.8958634104965,July,76.11265141073639
4,May,74.17535760164265,August,76.79072833527212
5,June,75.23997744464214,September,76.71045190815829
6,July,76.11265141073639,October,76.01382876367428
7,August,76.79072833527212,November,74.42943026522208
8,September,76.71045190815829,December,72.5217846709632
9,October,76.01382876367428,January,71.30314086336266
10,November,74.42943026522208,February,71.12618904501744
11,December,72.5217846709632,March,71.8209019361212
