oldMonth,RF_in,Month,RF
January,2.6337010483492715,May,3.8249684888098416
February,1.830763643866098,June,3.1906201938359
March,2.597817081339998,July,3.9155079625682268
April,3.40088333565712,August,4.050048601318816
May,3.8249684888098416,September,4.215719002341919
June,3.1906201938359,October,3.5027954957627108
July,3.9155079625682268,November,2.2619146160173584
August,4.050048601318816,December,2.070921360698058
September,4.215719002341919,January,2.6337010483492715
October,3.5027954957627108,February,1.830763643866098
November,2.2619146160173584,March,2.597817081339998
December,2.070921360698058,April,3.40088333565712
