,oldMonth,OldTemp,Month,Temp
0,January,71.70797543623868,April,73.8778450064835
1,February,71.63750007446589,May,75.44706676764385
2,March,72.311891013691,June,77.31783262845018
3,April,73.8778450064835,July,78.18023844497094
4,May,75.44706676764385,August,78.92430133069742
5,June,77.31783262845018,September,78.67485769334314
6,July,78.18023844497094,October,77.66329830897128
7,August,78.92430133069742,November,75.43513850055517
8,September,78.67485769334314,December,73.22322092915881
9,October,77.66329830897128,January,71.70797543623868
10,November,75.43513850055517,February,71.63750007446589
11,December,73.22322092915881,March,72.311891013691
