oldMonth,RF_in,Month,RF
January,6.907372944091462,May,2.622224020428076
February,4.958444665106106,June,1.3373725406505372
March,5.091350703948263,July,1.5472071790949435
April,3.342138368648036,August,1.7474939282954538
May,2.622224020428076,September,1.8624820517273073
June,1.3373725406505372,October,3.642355845983539
July,1.5472071790949435,November,5.238463822933203
August,1.7474939282954538,December,6.414166784330492
September,1.8624820517273073,January,6.907372944091462
October,3.642355845983539,February,4.958444665106106
November,5.238463822933203,March,5.091350703948263
December,6.414166784330492,April,3.342138368648036
