,Unnamed: 0.1,Year,Month,NDVI,datetime
272,272,2022.0,October,0.5501654320987656,2022-10-01
273,273,2022.0,November,0.574162962962963,2022-11-01
274,274,2022.0,December,0.558670987654321,2022-12-01
275,275,2023.0,January,0.5427191358024691,2023-01-01
276,276,2023.0,February,0.5533228395061729,2023-02-01
277,277,2023.0,March,0.453208024691358,2023-03-01
278,278,2023.0,April,0.5141993827160495,2023-04-01
279,279,2023.0,May,0.4350549382716049,2023-05-01
280,280,2023.0,June,0.4774932098765432,2023-06-01
281,281,2023.0,July,0.4738629629629629,2023-07-01
282,282,2023.0,August,0.4200154320987654,2023-08-01
283,283,2023.0,September,0.4153432098765431,2023-09-01
