oldMonth,RF_in,Month,RF
January,3.032233175974132,May,2.4481353957843215
February,1.9815453317621765,June,1.804279419392656
March,2.6209006949172844,July,1.6156580823127566
April,2.766052493348712,August,1.70164867534138
May,2.4481353957843215,September,2.2926564139833343
June,1.804279419392656,October,2.167259386511186
July,1.6156580823127566,November,1.7042332511061171
August,1.70164867534138,December,2.094154384497752
September,2.2926564139833343,January,3.032233175974132
October,2.167259386511186,February,1.9815453317621765
November,1.7042332511061171,March,2.6209006949172844
December,2.094154384497752,April,2.766052493348712
