,Month,Temp
398,March,66.55843370225693
399,April,66.45041232638889
400,May,74.05868055555555
401,June,75.39242350260417
402,July,70.24229058159722
403,August,70.59231770833333
404,September,70.1943115234375
405,October,70.07818739149306
406,November,68.127685546875
407,December,65.84357367621527
408,January,65.87560221354167
409,February,63.38053927951389
