,oldMonth,OldTemp,Month,Temp
0,January,66.7517709516485,May,69.60862546615294
1,February,66.38422854994097,June,71.25803517858304
2,March,66.71603741053737,July,72.46264949759498
3,April,67.91005879796994,August,73.28880407351176
4,May,69.60862546615294,September,73.51564492990717
5,June,71.25803517858304,October,72.43824170651435
6,July,72.46264949759498,November,69.90129474013263
7,August,73.28880407351176,December,67.78000021249325
8,September,73.51564492990717,January,66.7517709516485
9,October,72.43824170651435,February,66.38422854994097
10,November,69.90129474013263,March,66.71603741053737
11,December,67.78000021249325,April,67.91005879796994
