oldMonth,RF_in,Month,RF
January,8.80089155897648,May,3.615367038167439
February,6.409363803059889,June,2.2934725321611014
March,6.706890577466829,July,2.340877065528063
April,4.565215854724468,August,2.592901654500783
May,3.615367038167439,September,2.9183970218851707
June,2.2934725321611014,October,5.065333066764084
July,2.340877065528063,November,6.346013986902409
August,2.592901654500783,December,8.92121651218331
September,2.9183970218851707,January,8.80089155897648
October,5.065333066764084,February,6.409363803059889
November,6.346013986902409,March,6.706890577466829
December,8.92121651218331,April,4.565215854724468
