oldMonth,oldNDVI,Month,NDVI
January,0.5917027621799045,November,0.5647072558932834
February,0.5825578276316324,December,0.5850678952534993
March,0.5531177700890435,January,0.5917027621799045
April,0.5207618821380484,February,0.5825578276316324
May,0.5304497072839329,March,0.5531177700890435
June,0.5172072170127151,April,0.5207618821380484
July,0.5214762015220447,May,0.5304497072839329
August,0.4600316815906101,June,0.5172072170127151
September,0.47008618228455895,July,0.5214762015220447
October,0.5083721804822612,August,0.4600316815906101
November,0.5647072558932834,September,0.47008618228455895
December,0.5850678952534993,October,0.5083721804822612
