,oldMonth,OldTemp,Month,Temp
0,January,62.256355769968614,November,65.21765336421171
1,February,61.699792929533096,December,63.21686937099701
2,March,62.27665913619749,January,62.256355769968614
3,April,63.28893946786692,February,61.699792929533096
4,May,64.84895523861834,March,62.27665913619749
5,June,66.03870526236933,April,63.28893946786692
6,July,67.25103755533866,May,64.84895523861834
7,August,67.74908758947718,June,66.03870526236933
8,September,67.31288441223109,July,67.25103755533866
9,October,66.81630721849825,August,67.74908758947718
10,November,65.21765336421171,September,67.31288441223109
11,December,63.21686937099701,October,66.81630721849825
