oldMonth,oldNDVI,Month,NDVI
January,0.4851157727653597,November,0.45715448732729314
February,0.4436265921887056,December,0.48142965999650367
March,0.37754265490873357,January,0.4851157727653597
April,0.30250831433737263,February,0.4436265921887056
May,0.3304193551950192,March,0.37754265490873357
June,0.3278132929534767,April,0.30250831433737263
July,0.33984444736868336,May,0.3304193551950192
August,0.3290776010931727,June,0.3278132929534767
September,0.3373641650787672,July,0.33984444736868336
October,0.39026112524758944,August,0.3290776010931727
November,0.45715448732729314,September,0.3373641650787672
December,0.48142965999650367,October,0.39026112524758944
