oldMonth,RF_in,Month,RF
January,3.2653139708151877,May,2.7751785603640537
February,2.185695307853891,June,2.02876755901462
March,2.8171315171182245,July,1.8451395522130174
April,2.986502745170865,August,1.9496155389674215
May,2.7751785603640537,September,2.5935971203734836
June,2.02876755901462,October,2.282136230779965
July,1.8451395522130174,November,1.851209353367392
August,1.9496155389674215,December,2.2527700423379216
September,2.5935971203734836,January,3.2653139708151877
October,2.282136230779965,February,2.185695307853891
November,1.851209353367392,March,2.8171315171182245
December,2.2527700423379216,April,2.986502745170865
