oldMonth,RF_in,Month,RF
January,2.657288808326668,May,1.5288391741867986
February,2.1829028562219235,June,0.9331091642998535
March,2.8271352425745535,July,1.5893105087059598
April,1.888614741248684,August,1.9547242135472163
May,1.5288391741867986,September,1.6892760289435786
June,0.9331091642998535,October,1.643580226089056
July,1.5893105087059598,November,1.9146100415862863
August,1.9547242135472163,December,2.2491663399997477
September,1.6892760289435786,January,2.657288808326668
October,1.643580226089056,February,2.1829028562219235
November,1.9146100415862863,March,2.8271352425745535
December,2.2491663399997477,April,1.888614741248684
